file_name,state,city,agency,station_location,start_month,start_month_num,start_year,latitude,longitude
CG004,Chhattisgarh,Raipur,CECB,"Bhatagaon New ISBT, Raipur ",October,10,2022,21.2513844,81.62964130000002
CG005,Chhattisgarh,Bhilai,CECB,"Hathkhoj, Bhilai ",October,10,2022,21.2340619,81.4261283
CG006,Chhattisgarh,Bhilai,CECB,"32Bungalows, Bhilai ",October,10,2022,21.1951763,81.3120902
CG007,Chhattisgarh,Raipur,CECB,"Krishak Nagar, Raipur ",October,10,2022,21.2380912,81.6336993
CG008,Chhattisgarh,Korba,CECB,"Rampur, Korba ",October,10,2022,22.3720913,82.7387601
CG009,Chhattisgarh,Raipur,CECB,"Siltara Phase II, Raipur ",October,10,2022,21.2698628,81.5894589
CG010,Chhattisgarh,Raipur,CECB,"AIIMS, Raipur ",October,10,2022,21.2564272,81.5795215
CG011,Chhattisgarh,Tumidih,CECB,"OP Jindal Industrial Park, Tumidih ",January,1,2023,22.0582879,83.33886079999999
CG012,Chhattisgarh,Kunjemura,CECB,"OP Jindal School, Kunjemura ",January,1,2023,22.1179731,83.4971357
CG013,Chhattisgarh,Milupara,CECB,"Govt. Higher Secondary School, Milupara ",January,1,2023,22.1913163,83.51900789999999
CG014,Chhattisgarh,Chhal,CECB,"Nawapara SECL Colony, Chhal ",January,1,2023,22.1182781,83.1403675
CH001,Chandigarh,Chandigarh,CPCC,"Sector 25, Chandigarh ",August,8,2019,30.7512305,76.7583714
CH002,Chandigarh,Chandigarh,CPCC,"Sector 22, Chandigarh ",August,8,2021,30.7199833,76.7851783
CH003,Chandigarh,Chandigarh,CPCC,"Sector 53, Chandigarh ",January,1,2022,30.71931549999999,76.7245999
DL001,Delhi,Delhi,CPCB,"ITO, Delhi ",January,1,2010,28.6275431,77.242955
DL002,Delhi,Delhi,CPCB,"Shadipur, Delhi ",January,1,2010,28.651027,77.1562196
DL003,Delhi,Delhi,CPCB,"Sirifort, Delhi ",January,1,2010,28.552595,77.21891
DL004,Delhi,Delhi,CPCB,"NSIT Dwarka, Delhi ",January,1,2010,28.6109375,77.0384531
DL005,Delhi,Delhi,CPCB,"IHBAS, Dilshad Garden, Delhi ",January,1,2010,28.6826275,77.3049532
DL006,Delhi,Delhi,CPCB,"DTU, Delhi ",January,1,2010,28.7499533,77.11751939999999
DL007,Delhi,Delhi,IMD,"Burari Crossing, Delhi ",March,3,2010,28.7287217,77.1961012
DL008,Delhi,Delhi,IMD,"North Campus, DU, Delhi ",March,3,2010,28.6879795,77.2091004
DL009,Delhi,Delhi,IMD,"Pusa, Delhi ",May,5,2010,28.6362997,77.1576444
DL010,Delhi,Delhi,IMD,"CRRI Mathura Road, Delhi ",August,8,2010,28.5500925,77.2751557
